sep=;
File;Cid;Step;Rid;Rule;Subrule;Species;High;Group;Comment;Subcomment;Accept;Severity;GFP;IFP
midi\Counterpoint\test\test-tritone.mid;23;10;19;Audible tritone: framed;unresolved;3;Low;sp2-5 Tritone;Tritone within measure with intermediate notes, framed by two melody direction changes;;0;60;1;0
midi\Counterpoint\test\test-tritone.mid;23;17;267;Last note;not whole;3;Low;Rhythm;;;0;0;1;0
midi\Counterpoint\test\test-tritone.mid;23;17;252;Last note;1/4;3;Low;Rhythm;;;0;60;1;0
midi\Counterpoint\test\test-tritone.mid;25;0;359;Harmonic dissonance;first;5;High;Counterpoint;;First note in counterpoint voice is dissonance;0;100;1;0
midi\Counterpoint\test\test-tritone.mid;25;0;272;First harmonic interval;Other;5;High;Counterpoint;Low-high note;;0;100;1;0
midi\Counterpoint\test\test-tritone.mid;25;4;19;Audible tritone: framed;unresolved;5;High;sp2-5 Tritone;Tritone within measure with intermediate notes, framed by two melody direction changes;;0;60;1;0
midi\Counterpoint\test\test-tritone.mid;25;4;245;Many notes in measure;5;5;High;Rhythm;;;0;0;1;0
midi\Counterpoint\test\test-tritone.mid;25;10;229;Eighth note(s);4th beat;5;High;Rhythm;;1/8 note on beat 4;1;0;1;0
midi\Counterpoint\test\test-tritone.mid;25;10;88;Eighth note(s);leap;5;High;Rhythm;;Leap from or to 1/8 note;0;60;1;0
midi\Counterpoint\test\test-tritone.mid;25;12;236;Rhythm;whole inside;5;High;Rhythm;;Downbeat whole note inside counterpoint - not first or last note;0;60;1;0
midi\Counterpoint\test\test-tritone.mid;25;20;19;Audible tritone: framed;unresolved;5;High;sp2-5 Tritone;Tritone within measure with intermediate notes, framed by two melody direction changes;;0;60;1;0
midi\Counterpoint\test\test-tritone.mid;25;20;245;Many notes in measure;5;5;High;Rhythm;;;0;0;1;0
midi\Counterpoint\test\test-tritone.mid;25;20;88;Eighth note(s);leap;5;High;Rhythm;;Leap from or to 1/8 note;0;60;1;0
midi\Counterpoint\test\test-tritone.mid;25;20;226;Eighth note(s);1st beat;5;High;Rhythm;;1/8 note on beat 1;0;60;1;0
midi\Counterpoint\test\test-tritone.mid;25;20;305;Culmination;multi low;5;High;Repeats;;Multiple culminations in lower voice;0;0;1;0
midi\Counterpoint\test\test-tritone.mid;25;22;223;Harmonic dissonance;<< longer;5;High;Counterpoint;;Dissonance is longer than previous consonance;0;60;1;0
midi\Counterpoint\test\test-tritone.mid;27;0;359;Harmonic dissonance;first;5;High;Counterpoint;;First note in counterpoint voice is dissonance;0;100;1;0
midi\Counterpoint\test\test-tritone.mid;27;0;272;First harmonic interval;Other;5;High;Counterpoint;Low-high note;;0;100;1;0
midi\Counterpoint\test\test-tritone.mid;27;4;19;Audible tritone: framed;unresolved;5;High;sp2-5 Tritone;Tritone within measure with intermediate notes, framed by two melody direction changes;;0;60;1;0
midi\Counterpoint\test\test-tritone.mid;27;4;245;Many notes in measure;5;5;High;Rhythm;;;0;0;1;0
midi\Counterpoint\test\test-tritone.mid;27;8;319;;;5;High;;;;0;0;0;0
midi\Counterpoint\test\test-tritone.mid;27;10;229;Eighth note(s);4th beat;5;High;Rhythm;;1/8 note on beat 4;1;0;1;0
midi\Counterpoint\test\test-tritone.mid;27;10;319;;;5;High;;;;0;0;0;0
midi\Counterpoint\test\test-tritone.mid;27;11;320;;;5;High;;;;0;0;0;0
midi\Counterpoint\test\test-tritone.mid;27;11;305;Culmination;multi low;5;High;Repeats;;Multiple culminations in lower voice;0;0;1;0
midi\Counterpoint\test\test-tritone.mid;27;12;236;Rhythm;whole inside;5;High;Rhythm;;Downbeat whole note inside counterpoint - not first or last note;0;60;1;0
midi\Counterpoint\test\test-tritone.mid;27;12;319;;;5;High;;;;0;0;0;0
midi\Counterpoint\test\test-tritone.mid;27;20;19;Audible tritone: framed;unresolved;5;High;sp2-5 Tritone;Tritone within measure with intermediate notes, framed by two melody direction changes;;0;60;1;0
midi\Counterpoint\test\test-tritone.mid;27;20;305;Culmination;multi low;5;High;Repeats;;Multiple culminations in lower voice;0;0;1;0
midi\Counterpoint\test\test-tritone.mid;27;20;245;Many notes in measure;5;5;High;Rhythm;;;0;0;1;0
midi\Counterpoint\test\test-tritone.mid;27;20;226;Eighth note(s);1st beat;5;High;Rhythm;;1/8 note on beat 1;0;60;1;0
midi\Counterpoint\test\test-tritone.mid;27;22;305;Culmination;multi low;5;High;Repeats;;Multiple culminations in lower voice;0;0;1;0
midi\Counterpoint\test\test-tritone.mid;27;22;19;Audible tritone: framed;unresolved;5;High;sp2-5 Tritone;Tritone within measure with intermediate notes, framed by two melody direction changes;;0;60;1;0
midi\Counterpoint\test\test-tritone.mid;28;0;359;Harmonic dissonance;first;5;High;Counterpoint;;First note in counterpoint voice is dissonance;0;100;1;0
midi\Counterpoint\test\test-tritone.mid;28;0;272;First harmonic interval;Other;5;High;Counterpoint;Low-high note;;0;100;1;0
midi\Counterpoint\test\test-tritone.mid;28;4;19;Audible tritone: framed;unresolved;5;High;sp2-5 Tritone;Tritone within measure with intermediate notes, framed by two melody direction changes;;0;60;1;0
midi\Counterpoint\test\test-tritone.mid;28;4;245;Many notes in measure;5;5;High;Rhythm;;;0;0;1;0
midi\Counterpoint\test\test-tritone.mid;28;8;319;;;5;High;;;;0;0;0;0
midi\Counterpoint\test\test-tritone.mid;28;10;229;Eighth note(s);4th beat;5;High;Rhythm;;1/8 note on beat 4;1;0;1;0
midi\Counterpoint\test\test-tritone.mid;28;10;319;;;5;High;;;;0;0;0;0
midi\Counterpoint\test\test-tritone.mid;28;11;305;Culmination;multi low;5;High;Repeats;;Multiple culminations in lower voice;0;0;1;0
midi\Counterpoint\test\test-tritone.mid;28;11;320;;;5;High;;;;0;0;0;0
midi\Counterpoint\test\test-tritone.mid;28;12;236;Rhythm;whole inside;5;High;Rhythm;;Downbeat whole note inside counterpoint - not first or last note;0;60;1;0
midi\Counterpoint\test\test-tritone.mid;28;12;319;;;5;High;;;;0;0;0;0
midi\Counterpoint\test\test-tritone.mid;28;20;19;Audible tritone: framed;unresolved;5;High;sp2-5 Tritone;Tritone within measure with intermediate notes, framed by two melody direction changes;;0;60;1;0
midi\Counterpoint\test\test-tritone.mid;28;20;305;Culmination;multi low;5;High;Repeats;;Multiple culminations in lower voice;0;0;1;0
midi\Counterpoint\test\test-tritone.mid;28;20;245;Many notes in measure;5;5;High;Rhythm;;;0;0;1;0
midi\Counterpoint\test\test-tritone.mid;28;20;226;Eighth note(s);1st beat;5;High;Rhythm;;1/8 note on beat 1;0;60;1;0
midi\Counterpoint\test\test-tritone.mid;28;22;305;Culmination;multi low;5;High;Repeats;;Multiple culminations in lower voice;0;0;1;0
midi\Counterpoint\test\test-tritone.mid;28;22;19;Audible tritone: framed;unresolved;5;High;sp2-5 Tritone;Tritone within measure with intermediate notes, framed by two melody direction changes;;0;60;1;0
midi\Melody\test\test-leaps.mid;1;0;38;Voice range;voice <m6;0;High;Range;;Only if voice is at least 8 notes and 4 measures long. Voice range below m6 is acceptable for cantus up to 10 notes;0;0;0;0
midi\Melody\test\test-leaps.mid;1;0;15;No melody development;12 notes <12;0;High;Range;;Averaged melody direction within X notes is less than Y deci-semitones;0;0;0;1
midi\Melody\test\test-leaps.mid;1;0;16;No melody development;15 notes <15;0;High;Range;;Averaged melody direction within X notes is less than Y deci-semitones;0;0;0;1
midi\Melody\test\test-leaps.mid;1;0;402;Adjacent repeat 2 notes;uniform;0;High;Repeats;Two adjacent notes are immediately repeated;Length of first three notes is the same;0;100;0;0
midi\Melody\test\test-leaps.mid;1;0;76;Notes repeat;2 sym. in 3;0;High;Repeats;;Symmetric (on the same beat) repeat of X notes within Y notes;0;20;0;1
midi\Melody\test\test-leaps.mid;1;0;36;Notes repeat;3 sym. in 4;0;High;Repeats;;Symmetric (on the same beat) repeat of X notes within Y notes;0;60;0;1
midi\Melody\test\test-leaps.mid;1;0;69;Skipped notes;>1 joined;0;High;Range;Skipped notes that do not appear within this voice;;0;0;1;0
midi\Melody\test\test-leaps.mid;1;1;402;Adjacent repeat 2 notes;uniform;0;High;Repeats;Two adjacent notes are immediately repeated;Length of first three notes is the same;0;100;0;0
midi\Melody\test\test-leaps.mid;1;2;402;Adjacent repeat 2 notes;uniform;0;High;Repeats;Two adjacent notes are immediately repeated;Length of first three notes is the same;0;100;0;0
midi\Melody\test\test-leaps.mid;1;2;12;Culmination;multi high;0;High;Repeats;;Multiple culminations in higher voice;0;100;1;0
midi\Melody\test\test-leaps.mid;1;3;402;Adjacent repeat 2 notes;uniform;0;High;Repeats;Two adjacent notes are immediately repeated;Length of first three notes is the same;0;100;0;0
midi\Melody\test\test-leaps.mid;1;4;402;Adjacent repeat 2 notes;uniform;0;High;Repeats;Two adjacent notes are immediately repeated;Length of first three notes is the same;0;100;0;0
midi\Melody\test\test-leaps.mid;1;4;12;Culmination;multi high;0;High;Repeats;;Multiple culminations in higher voice;0;100;1;0
